trip,date,item,category,method,cost,cost_per_item,number_of_items,notes
Trip1,3/7/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,4/7/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,5/7/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,6/7/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,7/7/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,8/7/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,9/7/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,10/7/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,11/7/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,12/7/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,13/7/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
,14/7/2021,,,,0,,,
,15/7/2021,,,,0,,,
,16/7/2021,,,,0,,,
,17/7/2021,,,,0,,,
,18/7/2021,,,,0,,,
,19/7/2021,,,,0,,,
,20/7/2021,,,,0,,,
,21/7/2021,,,,0,,,
,22/7/2021,,,,0,,,
,23/7/2021,,,,0,,,
,24/7/2021,,,,0,,,
,25/7/2021,,,,0,,,
,26/7/2021,,,,0,,,
,27/7/2021,,,,0,,,
,28/7/2021,,,,0,,,
,29/7/2021,,,,0,,,
,30/7/2021,,,,0,,,
,31/7/2021,,,,0,,,
,1/8/2021,,,,0,,,
,2/8/2021,,,,0,,,
,3/8/2021,,,,0,,,
,4/8/2021,,,,0,,,
,5/8/2021,,,,0,,,
,6/8/2021,,,,0,,,
,7/8/2021,,,,0,,,
,8/8/2021,,,,0,,,
,9/8/2021,,,,0,,,
,10/8/2021,,,,0,,,
,11/8/2021,,,,0,,,
,12/8/2021,,,,0,,,
,13/8/2021,,,,0,,,
,14/8/2021,,,,0,,,
,15/8/2021,,,,0,,,
,16/8/2021,,,,0,,,
,17/8/2021,,,,0,,,
,18/8/2021,,,,0,,,
,19/8/2021,,,,0,,,
,20/8/2021,,,,0,,,
,21/8/2021,,,,0,,,
,22/8/2021,,,,0,,,
,23/8/2021,,,,0,,,
,24/8/2021,,,,0,,,
,25/8/2021,,,,0,,,
,26/8/2021,,,,0,,,
,27/8/2021,,,,0,,,
,28/8/2021,,,,0,,,
,29/8/2021,,,,0,,,
,30/8/2021,,,,0,,,
,31/8/2021,,,,0,,,
,1/9/2021,,,,0,,,
,2/9/2021,,,,0,,,
,3/9/2021,,,,0,,,
,4/9/2021,,,,0,,,
,5/9/2021,,,,0,,,
,6/9/2021,,,,0,,,
,7/9/2021,,,,0,,,
,8/9/2021,,,,0,,,
,9/9/2021,,,,0,,,
,10/9/2021,,,,0,,,
,11/9/2021,,,,0,,,
,12/9/2021,,,,0,,,
,13/9/2021,,,,0,,,
,14/9/2021,,,,0,,,
,15/9/2021,,,,0,,,
,16/9/2021,,,,0,,,
,17/9/2021,,,,0,,,
,18/9/2021,,,,0,,,
,19/9/2021,,,,0,,,
,20/9/2021,,,,0,,,
,21/9/2021,,,,0,,,
,22/9/2021,,,,0,,,
,23/9/2021,,,,0,,,
,24/9/2021,,,,0,,,
,25/9/2021,,,,0,,,
Trip2,26/9/2021,sd cards + battery replacement,equipment,PAM,1024,,,
Trip2,26/9/2021,field costs,field costs,PAM,270,,,"10 days for deployment at 6 sites including travel, (salary staff, fuel vehicles, rental vehicle), staff per day, travel 3500 km"
Trip2,27/9/2021,field costs,field costs,PAM,270,,,"10 days for deployment at 6 sites including travel, (salary staff, fuel vehicles, rental vehicle), staff per day, travel 3500 km"
Trip2,28/9/2021,field costs,field costs,PAM,270,,,"10 days for deployment at 6 sites including travel, (salary staff, fuel vehicles, rental vehicle), staff per day, travel 3500 km"
Trip2,29/9/2021,field costs,field costs,PAM,270,,,"10 days for deployment at 6 sites including travel, (salary staff, fuel vehicles, rental vehicle), staff per day, travel 3500 km"
Trip2,30/9/2021,field costs,field costs,PAM,270,,,"10 days for deployment at 6 sites including travel, (salary staff, fuel vehicles, rental vehicle), staff per day, travel 3500 km"
Trip2,1/10/2021,field costs,field costs,PAM,270,,,"10 days for deployment at 6 sites including travel, (salary staff, fuel vehicles, rental vehicle), staff per day, travel 3500 km"
Trip2,2/10/2021,field costs,field costs,PAM,270,,,"10 days for deployment at 6 sites including travel, (salary staff, fuel vehicles, rental vehicle), staff per day, travel 3500 km"
Trip2,3/10/2021,field costs,field costs,PAM,270,,,"10 days for deployment at 6 sites including travel, (salary staff, fuel vehicles, rental vehicle), staff per day, travel 3500 km"
Trip2,4/10/2021,field costs,field costs,PAM,270,,,"10 days for deployment at 6 sites including travel, (salary staff, fuel vehicles, rental vehicle), staff per day, travel 3500 km"
Trip2,5/10/2021,field costs,field costs,PAM,270,,,"10 days for deployment at 6 sites including travel, (salary staff, fuel vehicles, rental vehicle), staff per day, travel 3500 km"
Trip2,26/9/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,26/9/2021,field gear,equipment,OBM,500,,,
Trip2,27/9/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,28/9/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,29/9/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,30/9/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,1/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,2/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,3/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip2,4/10/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
